,type_pre,weight,out_to_ovis_weight,out_to_ovis_rank
414,LAL082,5,5,85
415,CL249,5,6,2
416,SMP008,5,7,71
417,CL168,5,14,19
418,SMP270,5,5,44
419,SMP027,5,7,55
420,CL344,5,6,54
421,SMP253,5,6,35
422,SMP574,5,5,7
423,PPM1205,5,5,134
424,SMP577,5,9,97
425,CL008,5,5,40
426,AVLP590,5,13,60
427,LAL148,5,5,31
428,SIP035,5,5,56
429,SMP249,5,9,27
430,VES012,5,5,77
431,AVLP015,5,5,78
432,SMP246,5,5,41
433,LHPD2a7,5,5,45
434,SLP279,5,12,17
435,SLP246,5,7,17
436,CRE011,5,11,91
437,FB6X,5,7,37
438,LAL016,5,5,59
439,SMP413,5,5,42
440,FB4F_a,5,8,68
441,MBON33,5,10,45
442,SMP138,5,8,46
443,CRE094,5,9,32
444,SMP332,5,6,23
445,CRE091,5,6,61
446,CRE086,5,6,50
447,PLP032,5,5,117
448,IB078,5,6,4
449,PLP124,5,5,46
450,CRE062,5,5,34
451,SMP177,5,8,150
452,CRE036,5,11,35
453,PLP245,5,9,60
454,LAL008,5,5,86
455,SMP458,5,7,34
456,IB084,5,5,36
457,SMP433,5,5,24
458,SMP561,4,8,13
459,SLP398,4,5,28
460,SMP093,4,6,60
461,SMP354,4,4,66
462,SIP073,4,9,22
463,SMP527,4,13,64
464,SMP213,4,4,39
465,SMP126,4,4,63
466,v2LN37,4,4,53
467,SMP188,4,9,48
468,VES003,4,4,90
469,SMP089,4,9,175
470,SLP399,4,7,36
471,SMP146,4,6,122
472,SMP593,4,10,199
473,SMP541,4,11,72
474,SMP581,4,5,45
475,SMP069,4,6,72
476,SMP490,4,6,16
477,SMP275,4,6,44
478,SMP408_c,4,8,43
479,SMP002,4,4,44
480,SMP326,4,7,40
481,SMP558,4,5,85
482,SMP409,4,4,113
483,SMP410,4,4,60
484,SMP404,4,9,57
485,vpoEN,4,4,67
486,PLP042_b,4,5,47
487,LAL060,4,4,122
488,LHPD2a2,4,4,133
489,CL175,4,5,66
490,LHPD2a1,4,4,144
491,CL211,4,4,15
492,CL336,4,4,22
493,CL337,4,4,0
494,LHAD1b1_b,4,4,77
495,CRE029_b,4,6,105
496,CL010,4,6,33
497,CRE040,4,7,199
498,IB053,4,4,67
499,IB024,4,6,39
500,PFL3,4,4,171
501,PS166,4,4,84
502,FB7E,4,6,58
503,FB6U,4,4,84
504,CL019_a,4,6,18
505,LHAD1b2_c,4,4,81
506,LHPD2c2,4,6,70
507,AVLP493,4,4,136
508,AOTU030,4,4,68
509,PAM13,4,4,46
510,PAM01_b,4,4,31
511,AVLP470,4,5,45
512,FB5L,4,4,73
513,LHPD2c3,4,4,61
514,AVLP530,4,4,17
515,SMP370,3,4,67
516,SMP186,3,5,83
517,SMP085,3,6,125
518,SMP164,3,6,125
519,FC1E,3,7,93
520,FS4C,3,6,66
521,SMP090,3,4,41
522,SMP347,3,4,153
523,SMP340,3,3,57
524,SMP110,3,3,36
525,IB058,3,3,109
526,PAL01,3,5,190
527,IB079,3,3,23
528,SMP117_b,3,6,53
529,SMP323,3,3,80
530,SMP316,3,31,5
531,SMP158,3,8,58
532,LAL068,3,3,28
533,LAL137,3,10,119
534,LAL142,3,3,130
535,LAL150,3,3,63
536,LAL159,3,5,112
537,OA-VUMa1,3,3,601
538,SMP131,3,4,60
539,SMP148,3,3,123
540,SMP121,3,3,53
541,SMP329,3,3,45
542,SMP371,3,5,182
543,FB1C,3,3,125
544,CL194,3,3,48
545,CL165,3,4,66
546,CL162,3,3,29
547,SMP576,3,3,4
548,SMP586,3,3,75
549,SMP587,3,10,17
550,AVLP497,3,3,33
551,AVLP428,3,3,179
552,VES009,3,3,95
553,AVLP032,3,8,95
554,VES041,3,4,273
555,AVLP016,3,3,415
556,VES065,3,3,2
557,AOTU061,3,3,42
558,AOTU042,3,3,136
559,aMe24,3,4,177
560,oviIN,3,18,426
561,SMP543,3,6,12
562,SMP528,3,11,55
563,CL356,3,3,80
564,SMP421,3,6,69
565,DNp32,3,3,431
566,CRE085,3,4,108
567,SMP401,3,7,26
568,CRE081,3,4,51
569,SMP414,3,4,50
570,SMP415,3,4,71
571,CRE049,3,3,93
572,CRE034,3,5,49
573,CRE003_b,3,3,120
574,CRE025,3,8,62
575,SMP468,3,3,64
576,CRE024,3,6,130
577,SMP475,3,7,28
578,SMP491,3,5,66
579,CRE010,3,3,90
580,SMP504,3,3,187
581,CRE082,3,5,53
582,5-HTPMPD01,3,3,341
583,SMP016_a,3,3,78
584,SLP392,3,4,93
585,SMP025,3,3,76
586,SIP063,3,3,44
587,SIP064,3,12,75
588,SMP055,3,3,110
589,SMP057,3,5,65
590,SLP402,3,4,58
591,PS165,3,4,18
592,SLP400,3,5,91
593,SLP129_c,3,3,193
594,5-HTPMPV01,3,4,391
595,SMP031,3,3,105
596,SIP010,3,3,74
597,SMP078,3,8,124
598,SLP328,3,3,38
599,SMP398,2,4,125
600,SMP396,2,2,119
601,CRE084,2,5,41
602,CRE089,2,5,176
603,SMP010,2,3,140
604,CRE093,2,4,120
605,SMP079,2,5,55
606,CRE056,2,2,188
607,CRE054,2,2,225
608,DNp42,2,3,9
609,CRE043_a,2,2,93
610,SAD010,2,2,50
611,CRE030_a,2,3,74
612,SMP444,2,2,71
613,SMP446,2,2,67
614,SMP456,2,2,12
615,CRE026,2,3,100
616,CRE044,2,16,47
617,FB6V,2,5,67
618,SMP016_b,2,2,78
619,SMP017,2,2,23
620,SMP281,2,2,75
621,SMP291,2,5,113
622,LAL070,2,2,41
623,LAL056,2,2,58
624,LAL045,2,3,102
625,LAL009,2,2,102
626,LAL007,2,6,81
627,LAL003,2,2,69
628,SMP029,2,4,60
629,IB091,2,2,47
630,IB080,2,2,15
631,SIP075,2,2,78
632,IB063,2,2,39
633,SMP023,2,2,80
634,SMP342,2,3,53
635,SMP022,2,3,78
636,PS143,2,2,8
637,SMP473,2,3,104
638,SMP365,2,2,70
639,SMP369,2,2,91
640,SMP018_a,2,2,80
641,SMP470,2,6,141
642,CRE007,2,2,131
643,CRE021,2,4,137
644,SIP065,2,8,75
645,SMP579,2,3,94
646,SIP055,2,3,43
647,CL009,2,2,67
648,SIP059,2,3,64
649,CL006,2,2,39
650,AVLP593,2,2,274
651,SLP329,2,3,46
652,SMP592,2,4,25
653,SMP595,2,2,103
654,VES042,2,2,99
655,SLP428,2,2,88
656,VES054,2,2,34
657,ATL037,2,2,137
658,WED014,2,2,47
659,SLP129_b,2,2,99
660,AOTU044,2,2,143
661,SIP087,2,7,333
662,AOTU022,2,2,72
663,AOTU020,2,2,108
664,vpoDN,2,2,19
665,CL018,2,2,121
666,SIP039,2,2,115
667,CL020,2,4,35
668,CL025,2,2,109
669,SIP011,2,2,102
670,CRE009,2,2,70
671,LAL121,2,2,113
672,CRE006,2,4,78
673,SLP421,2,3,79
674,SMP521,2,13,3
675,SIP018,2,2,86
676,SMP531,2,2,125
677,SMP533,2,2,61
678,CL286,2,2,150
679,CL265,2,5,80
680,CL261,2,3,79
681,CL161,2,2,134
682,CL147,2,2,93
683,CL144,2,2,79
684,CL129,2,3,172
685,CL112,2,2,140
686,CL109,2,2,211
687,SMP568_d,2,5,54
688,SMP279_c,2,2,67
689,SMP390,2,2,111
690,LHCENT5,2,2,120
691,SMP184,2,2,210
692,SMP050,2,3,172
693,SMP043,2,2,98
694,SMP159,2,3,155
695,SMP193,2,2,146
696,LAL191,2,2,135
697,LT42,2,2,34
698,SMP046,2,4,22
699,SMP115,2,3,133
700,SMP190,2,10,46
701,LC46a,2,2,70
702,SMP247,2,2,126
703,SMP152,2,3,162
704,SMP154,2,5,131
705,SMP118,2,5,55
706,SMP054,2,11,41
707,SMP063,2,6,27
708,SMP207,2,2,91
709,SMP035,2,2,194
710,SMP147,2,3,58
711,SMP201,2,7,55
712,SMP202,2,2,99
713,PLP246,2,2,223
714,LHAD1b2_b,2,2,128
715,PLP046_b,2,2,46
716,LAL130,2,3,101
717,SMP173,2,2,164
718,SMP114,2,3,133
719,SMP150,2,2,155
720,LHPD2a5_a,2,2,61
721,SMP165,2,4,107
722,MBON27,2,3,191
723,PLP187,2,2,80
724,LAL173,2,2,70
725,CL209,1,1,34
726,SIP038,1,1,228
727,LAL128,1,1,258
728,CL185,1,1,120
729,CL176,1,3,31
730,SLP396,1,1,236
731,CL174,1,1,47
732,CL229,1,1,58
733,SLP393,1,3,36
734,LHPD5f1,1,1,165
735,LHPV10d1,1,3,283
736,CL143,1,1,131
737,SMP144,1,3,128
738,LHPV5g1_b,1,1,226
739,SIP034,1,1,55
740,CL308,1,2,118
741,CL243,1,1,124
742,SLP412,1,1,221
743,SMP493,1,1,131
744,SMP494,1,1,110
745,CRE013,1,3,287
746,CRE012,1,2,256
747,SMP501,1,1,224
748,SMP502,1,1,169
749,SMP045,1,1,174
750,SMP506,1,1,272
751,LHPD2a5_b,1,1,103
752,SMP508,1,3,55
753,CRE008,1,1,229
754,SMP161,1,1,165
755,LHPD2a9,1,1,268
756,CL342,1,1,62
757,SMP552,1,1,185
758,SIP014,1,1,149
759,SMP525,1,1,56
760,PLP216,1,1,252
761,SMP155,1,4,160
762,SMP529,1,3,155
763,PLP210,1,3,280
764,CL326,1,1,197
765,CL312,1,3,28
766,CL311,1,1,5
767,CL287,1,1,347
768,LHPD2c4,1,1,109
769,LHPD5b1,1,1,169
770,CL244,1,2,73
771,LT34,1,1,109
772,MBON26,1,1,311
773,CL060,1,1,90
774,SMP570,1,1,158
775,ATL042,1,1,505
776,SMP107,1,2,44
777,ATL029,1,3,74
778,SMP101,1,1,96
779,ATL027,1,1,260
780,ATL024,1,1,63
781,ATL008,1,1,266
782,WED013,1,1,66
783,SMP098_a,1,1,65
784,WED082,1,1,34
785,WED149,1,1,112
786,WEDPN16_a,1,1,129
787,WEDPN17_a,1,1,298
788,ATL001,1,1,136
789,SMP097_a,1,1,72
790,SLP127,1,1,163
791,SLP013,1,2,64
792,aSP-f2,1,1,103
793,mAL1,1,1,192
794,PAM14,1,1,239
795,AOTU028,1,1,251
796,oviDNa,1,1,11
797,SMP067,1,1,228
798,AOTU024,1,1,98
799,PFL2,1,1,213
800,AOTU008_a,1,1,154
801,AOTU003,1,1,90
802,5-HTPMPV03,1,2,1094
803,SMP084,1,2,281
804,VES055,1,1,101
805,PAM08_c,1,1,141
806,SLP130,1,1,346
807,AVLP494,1,1,229
808,CL054,1,1,99
809,LT51,1,1,501
810,MBON05,1,1,290
811,SLP391,1,1,144
812,SMP129,1,1,144
813,M_lvPNm24,1,1,304
814,SMP583,1,1,253
815,SLP356,1,1,244
816,OA-ASM2,1,1,666
817,OA-VPM4,1,2,533
818,PLP123,1,2,81
819,AVLP563,1,3,164
820,SMP053,1,1,188
821,SIP062,1,2,59
822,VES045,1,1,53
823,SMP597,1,4,54
824,SMP602,1,1,97
825,AVLP460,1,1,222
826,SMP113,1,1,106
827,AVLP256,1,1,86
828,AVLP096,1,1,77
829,SLP245,1,3,73
830,SLP213,1,1,115
831,VES021,1,1,65
832,VES023,1,1,94
833,VES033,1,1,308
834,OCG06,1,1,143
835,PLP048,1,1,211
836,SMP492,1,6,44
837,SLP442,1,1,211
838,CRE015,1,1,90
839,IB070,1,1,98
840,SMP026,1,1,257
841,LAL174,1,1,85
842,IB050,1,1,203
843,SMP336,1,1,282
844,SMP337,1,3,79
845,IB031,1,1,207
846,SMP024,1,1,170
847,LAL185,1,1,311
848,SMP231,1,1,74
849,SMP216,1,1,110
850,SMP349,1,1,232
851,SMP353,1,1,200
852,PS127,1,1,258
853,SMP355,1,1,161
854,PS140,1,1,118
855,FC1D,1,4,93
856,FB8I,1,1,86
857,FB7C,1,1,75
858,LAL192,1,1,234
859,SMP018_c,1,1,299
860,FB6N,1,1,99
861,FB5T,1,1,66
862,FB5P,1,3,65
863,FB5N,1,2,79
864,SMP211,1,1,254
865,PS145,1,1,165
866,SMP367,1,1,221
867,LAL199,1,1,218
868,SMP209,1,1,165
869,LAL163,1,2,163
870,PS122,1,1,268
